run,step,kb_size_bytes,file_count,model,vector_store_id,preload_elapsed_ms,preload_status,ask_elapsed_ms_mean,ask_elapsed_ms_p50,ask_elapsed_ms_p95,ask_elapsed_ms_min,ask_elapsed_ms_max,ask_input_tokens_mean,ask_input_tokens_total,ask_output_tokens_mean,ask_output_tokens_total,ask_throughput_tokens_per_sec_mean,ask_aggregate_throughput_tokens_per_sec,ask_provider_server_latency_ms_mean,server_latency_missing_count,citation_miss_count
1,1,10569,1,gpt-4o-mini,vs_69d643f5a49081919708461ebe55475a,8007.238,completed,42108.297,19895.68,140378.494,9599.896,140378.494,9379.667,56278,586.5,3519,23.906,13.953,42033.333,0,1
1,2,21048,2,gpt-4o-mini,vs_69d644fbd560819197387047506ee08c,85900.767,completed,47520.189,28793.599,149831.073,4705.928,149831.073,17443.5,104661,555.667,3334,25.835,11.709,47456.833,0,2
1,3,31242,3,gpt-4o-mini,vs_69d6467049808191ab0f35b22da05853,9337.091,completed,49098.036,34700.667,142794.984,11070.579,142794.984,17454.5,104727,559.0,3354,18.096,11.401,49031.833,0,2
1,4,41717,4,gpt-4o-mini,vs_69d647a1a6a08191b44deb1b911230d4,9551.474,completed,51059.368,29592.085,125543.645,17389.619,125543.645,17553.167,105319,645.5,3873,15.964,12.656,51001.5,0,3
1,5,51989,5,gpt-4o-mini,vs_69d648df4b5c8191b34e3f2e3483ae04,7575.801,completed,34439.556,28659.054,80642.361,11940.023,80642.361,17454.333,104726,599.167,3595,20.242,17.437,34360.833,0,1
1,6,62334,6,gpt-4o-mini,vs_69d649b6f928819181ee5f56c433b41b,9591.625,completed,41606.44,15464.463,157498.208,14356.615,157498.208,14756.333,88538,538.833,3233,23.779,12.972,41536.667,0,3
1,7,72725,7,gpt-4o-mini,vs_69d64abbae308191b3d16dff593a08ab,12760.733,completed,28318.002,25515.519,48186.69,9123.93,48186.69,17208.0,103248,527.0,3162,22.464,18.663,28237.167,0,0
1,8,83099,8,gpt-4o-mini,vs_69d64b73c4208191a2b76958e6ae7be6,23649.439,completed,60474.271,44267.052,146077.535,23230.023,146077.535,17422.333,104534,648.333,3890,13.237,10.74,60364.167,0,3
1,9,93548,9,gpt-4o-mini,vs_69d64cf80d888191bce3f475005fbaeb,10511.335,completed,45867.374,29334.347,140671.143,16252.578,140671.143,17327.667,103966,613.167,3679,19.066,13.391,45789.5,0,6
1,10,104002,10,gpt-4o-mini,vs_69d64e17551c8191b69ddf01b979b18c,139621.255,completed,45336.872,40098.348,84061.009,24942.785,84061.009,17226.167,103357,633.833,3803,15.149,14.012,45235.333,0,3
1,11,114451,11,gpt-4o-mini,vs_69d64fb4fc20819187b6c31f61f9c220,11756.71,completed,31593.516,31465.147,40135.657,17924.993,40135.657,17236.167,103417,557.5,3345,17.942,17.684,31526.167,0,2
1,12,124871,12,gpt-4o-mini,vs_69d6507fee3481918c9ccd51fadece18,12649.497,completed,67585.857,47052.299,148168.271,15583.344,148168.271,17605.167,105631,663.667,3982,13.755,9.833,67497.167,0,3
1,13,135223,13,gpt-4o-mini,vs_69d65223c2e08191a5a156db9db09da5,17203.778,completed,64370.762,45656.29,157759.878,22283.458,157759.878,17366.167,104197,592.5,3555,11.684,9.215,64300.0,0,2
