step,kb_size_bytes,file_count,model,preload_elapsed_ms,preload_status,ask_elapsed_ms_mean,ask_elapsed_ms_p50,ask_elapsed_ms_p95,ask_elapsed_ms_min,ask_elapsed_ms_max,ask_input_tokens_mean,ask_input_tokens_total,ask_output_tokens_mean,ask_output_tokens_total,ask_throughput_tokens_per_sec_mean,ask_aggregate_throughput_tokens_per_sec,ask_provider_server_latency_ms_mean,server_latency_missing_count,citation_miss_count,ask_elapsed_ms_std,ask_input_tokens_std,ask_output_tokens_std,ask_throughput_tokens_per_sec_std,ask_aggregate_throughput_tokens_per_sec_std
1.0,10569.0,1.0,gpt-4o-mini,8007.238,completed,42108.297,19895.68,140378.494,9599.896,140378.494,9379.667,56278.0,586.5,3519.0,23.906,13.953,42033.333,0,1.0,0.0,0.0,0.0,0.0,0.0
2.0,21048.0,2.0,gpt-4o-mini,85900.767,completed,47520.189,28793.599,149831.073,4705.928,149831.073,17443.5,104661.0,555.667,3334.0,25.835,11.709,47456.833,0,2.0,0.0,0.0,0.0,0.0,0.0
3.0,31242.0,3.0,gpt-4o-mini,9337.091,completed,49098.036,34700.667,142794.984,11070.579,142794.984,17454.5,104727.0,559.0,3354.0,18.096,11.401,49031.833,0,2.0,0.0,0.0,0.0,0.0,0.0
4.0,41717.0,4.0,gpt-4o-mini,9551.474,completed,51059.368,29592.085,125543.645,17389.619,125543.645,17553.167,105319.0,645.5,3873.0,15.964,12.656,51001.5,0,3.0,0.0,0.0,0.0,0.0,0.0
5.0,51989.0,5.0,gpt-4o-mini,7575.801,completed,34439.556,28659.054,80642.361,11940.023,80642.361,17454.333,104726.0,599.167,3595.0,20.242,17.437,34360.833,0,1.0,0.0,0.0,0.0,0.0,0.0
6.0,62334.0,6.0,gpt-4o-mini,9591.625,completed,41606.44,15464.463,157498.208,14356.615,157498.208,14756.333,88538.0,538.833,3233.0,23.779,12.972,41536.667,0,3.0,0.0,0.0,0.0,0.0,0.0
7.0,72725.0,7.0,gpt-4o-mini,12760.733,completed,28318.002,25515.519,48186.69,9123.93,48186.69,17208.0,103248.0,527.0,3162.0,22.464,18.663,28237.167,0,0.0,0.0,0.0,0.0,0.0,0.0
8.0,83099.0,8.0,gpt-4o-mini,23649.439,completed,60474.271,44267.052,146077.535,23230.023,146077.535,17422.333,104534.0,648.333,3890.0,13.237,10.74,60364.167,0,3.0,0.0,0.0,0.0,0.0,0.0
9.0,93548.0,9.0,gpt-4o-mini,10511.335,completed,45867.374,29334.347,140671.143,16252.578,140671.143,17327.667,103966.0,613.167,3679.0,19.066,13.391,45789.5,0,6.0,0.0,0.0,0.0,0.0,0.0
10.0,104002.0,10.0,gpt-4o-mini,139621.255,completed,45336.872,40098.348,84061.009,24942.785,84061.009,17226.167,103357.0,633.833,3803.0,15.149,14.012,45235.333,0,3.0,0.0,0.0,0.0,0.0,0.0
