run,step,kb_size_bytes,file_count,model,vector_store_id,preload_elapsed_ms,preload_status,ask_elapsed_ms_mean,ask_elapsed_ms_p50,ask_elapsed_ms_p95,ask_elapsed_ms_min,ask_elapsed_ms_max,ask_input_tokens_mean,ask_input_tokens_total,ask_output_tokens_mean,ask_output_tokens_total,ask_throughput_tokens_per_sec_mean,ask_aggregate_throughput_tokens_per_sec,ask_provider_server_latency_ms_mean,server_latency_missing_count,citation_miss_count
1,1,10569,1,gpt-4o-mini,vs_69d66614842c819195756fd0e2d93950,7709.438,completed,30963.961,18824.537,60729.247,10526.645,60729.247,9336.167,56017,563.333,3380,22.265,18.237,30890.167,0,3
1,2,21048,2,gpt-4o-mini,vs_69d666d7827c81919770a4f519fda4ed,8504.557,completed,29725.57,24671.017,47135.758,13920.592,47135.758,17319.333,103916,529.5,3177,20.57,18.057,29324.0,0,1
1,3,31242,3,gpt-4o-mini,vs_69d667942a108191acb8db466d27bb42,7835.23,completed,53369.911,32310.413,138577.661,19159.707,138577.661,17496.833,104981,678.333,4070,15.372,12.728,53296.0,0,1
1,4,41717,4,gpt-4o-mini,vs_69d668de09588191b9699b355d2c06d9,12373.752,completed,49757.53,33721.412,127116.62,24567.771,127116.62,17342.0,104052,527.167,3163,13.115,10.611,49679.0,0,2
1,5,51989,5,gpt-4o-mini,vs_69d66a165e288191b06eade440a6f50f,13691.609,completed,51163.102,38435.668,126590.647,21375.362,126590.647,17401.167,104407,614.0,3684,15.15,12.018,51089.167,0,3
1,6,62334,6,gpt-4o-mini,vs_69d66b5886808191ab43ec7db7f5904c,9008.842,completed,46686.438,25998.2,116858.917,19705.596,116858.917,17400.833,104405,595.5,3573,15.713,12.773,46620.667,0,2
1,7,72725,7,gpt-4o-mini,vs_69d66c7b337c81919d2757876a713b57,8758.873,completed,50300.081,36394.79,86704.442,25119.116,86704.442,17506.167,105037,580.0,3480,12.685,11.545,50237.333,0,3
1,8,83099,8,gpt-4o-mini,vs_69d66db433c08191ab8f25d3459a82ee,116610.577,completed,41398.483,29102.236,102167.186,13273.097,102167.186,17308.833,103853,594.833,3569,18.847,14.392,41330.5,0,2
1,9,93548,9,gpt-4o-mini,vs_69d66f22bc6881919ae140ca9b7202e3,22952.003,completed,46388.707,23853.886,130444.733,20519.238,130444.733,14600.833,87605,573.5,3441,16.655,12.381,46319.167,0,4
1,10,104002,10,gpt-4o-mini,vs_69d670519b308191929c444d7dd77f20,130917.134,completed,56745.929,29272.165,165769.755,23133.474,165769.755,17439.833,104639,605.333,3632,14.641,10.679,56683.833,0,4
1,11,114451,11,gpt-4o-mini,vs_69d6722aaa5081919b4481d4c0f6f2a2,18103.147,completed,50463.74,32927.607,98494.42,21788.71,98494.42,17340.167,104041,616.167,3697,14.224,12.224,50407.833,0,5
1,12,124871,12,gpt-4o-mini,vs_69d6736d0e2881919f5749a125fb8caa,23198.57,completed,39085.028,34434.061,96176.765,12056.977,96176.765,17355.667,104134,585.167,3511,19.114,15.001,39009.667,0,3
1,13,135223,13,gpt-4o-mini,vs_69d674707e9c8191bcc794198f0d6509,20049.983,completed,59153.781,40882.964,147802.006,21823.449,147802.006,17280.167,103681,606.833,3641,13.706,10.288,58987.0,0,3
1,14,145724,14,gpt-4o-mini,vs_69d675e91894819183a262c46bc560e4,15254.622,completed,53212.94,29874.244,103075.29,20019.287,103075.29,17225.333,103352,650.5,3903,15.256,12.239,53149.333,0,1
1,15,155786,15,gpt-4o-mini,vs_69d6773931dc8191b5c9051a211b9b16,311673.272,completed,51297.92,28428.408,168916.325,15119.363,168916.325,17241.0,103446,581.833,3491,17.626,11.357,51232.167,0,3
1,16,166256,16,gpt-4o-mini,vs_69d679a634fc8191b098310a29c7c2a5,34502.636,completed,39101.573,28944.166,88162.434,21950.331,88162.434,17471.5,104829,618.5,3711,18.678,15.847,39029.333,0,4
1,17,176648,17,gpt-4o-mini,vs_69d67ab4bb508191a7b2f2f6115501f6,53963.608,completed,55218.944,31637.911,114870.735,29110.964,114870.735,17125.833,102755,663.5,3981,13.303,12.032,55145.333,0,3
1,18,186905,18,gpt-4o-mini,vs_69d67c379e9c81918f678bc8e9d5e919,31260.606,completed,66467.659,52307.164,112092.903,14449.357,112092.903,17316.5,103899,670.333,4022,13.998,10.105,66333.667,0,1
1,19,197313,19,gpt-4o-mini,vs_69d67de73b208191bc450f9aa736b4ee,24802.275,completed,50906.658,37723.956,83631.198,27201.679,83631.198,17293.667,103762,640.5,3843,13.33,12.598,50842.5,0,4
1,20,207534,20,gpt-4o-mini,vs_69d67f32c6148191bd41c92aa1bb9df5,58517.388,completed,50086.207,18713.325,172017.275,13600.909,172017.275,17210.167,103261,620.333,3722,20.857,12.404,50009.333,0,3
1,21,217827,21,gpt-4o-mini,vs_69d6809bf82c81918e37131c9f47a7de,32800.1,completed,58333.789,25500.625,133266.522,5970.316,133266.522,17432.5,104595,719.0,4314,23.683,12.343,58251.5,0,3
1,22,228128,22,gpt-4o-mini,vs_69d6821c52c88191857ba7a9efc2729d,36818.782,completed,54991.911,25818.889,151717.624,17379.788,151717.624,17253.0,103518,611.0,3666,14.704,11.124,54928.167,0,3
1,23,238377,23,gpt-4o-mini,vs_69d6838d08c081919a8149f39e77c520,26488.055,completed,35452.832,28954.438,69112.508,10736.472,69112.508,16994.167,101965,609.333,3656,23.325,17.231,35362.833,0,3
1,24,248829,24,gpt-4o-mini,vs_69d6847dd62c8191b877a60d41e9d82e,21152.613,completed,44822.112,29752.489,99640.942,21302.689,99640.942,17162.333,102974,612.167,3673,16.277,13.679,44752.333,0,3
1,25,259166,25,gpt-4o-mini,vs_69d685a1aebc8191a65ef8f517ab2e12,27726.161,completed,51868.077,34711.803,110220.64,24416.072,110220.64,16961.833,101771,618.333,3710,13.751,11.937,51800.333,0,1
