step,kb_size_bytes,file_count,model,preload_elapsed_ms,preload_status,ask_elapsed_ms_mean,ask_elapsed_ms_p50,ask_elapsed_ms_p95,ask_elapsed_ms_min,ask_elapsed_ms_max,ask_input_tokens_mean,ask_input_tokens_total,ask_output_tokens_mean,ask_output_tokens_total,ask_throughput_tokens_per_sec_mean,ask_aggregate_throughput_tokens_per_sec,ask_provider_server_latency_ms_mean,server_latency_missing_count,citation_miss_count,ask_elapsed_ms_std,ask_input_tokens_std,ask_output_tokens_std,ask_throughput_tokens_per_sec_std,ask_aggregate_throughput_tokens_per_sec_std
1.0,10569.0,1.0,gpt-4o-mini,7753.057,completed,27564.925,17701.638,79106.24,7211.712,79106.24,7998.5,47991.0,632.333,3794.0,30.536,23.067,27412.333,0,3.0,0.0,0.0,0.0,0.0,0.0
2.0,21048.0,1.0,gpt-4o-mini,7180.992,completed,31553.121,22780.228,53674.011,13561.52,53674.011,17462.5,104775.0,536.0,3216.0,19.17,17.05,31437.333,0,3.0,0.0,0.0,0.0,0.0,0.0
3.0,31242.0,1.0,gpt-4o-mini,9443.08,completed,28137.517,28217.177,35879.287,11888.314,35879.287,17426.5,104559.0,517.833,3107.0,20.15,18.454,28061.5,0,3.0,0.0,0.0,0.0,0.0,0.0
4.0,41717.0,1.0,gpt-4o-mini,9971.421,completed,28806.357,27184.89,43947.762,20382.737,43947.762,17421.0,104526.0,560.833,3365.0,19.415,19.521,28729.833,0,2.0,0.0,0.0,0.0,0.0,0.0
5.0,51989.0,1.0,gpt-4o-mini,72231.771,completed,36507.38,18792.001,91808.973,10819.443,91808.973,17523.667,105142.0,638.5,3831.0,24.997,17.521,36441.0,0,2.0,0.0,0.0,0.0,0.0,0.0
6.0,62334.0,1.0,gpt-4o-mini,10665.528,completed,48847.076,39020.397,78512.705,24566.127,78512.705,17404.5,104427.0,575.333,3452.0,13.569,11.824,48658.833,0,2.0,0.0,0.0,0.0,0.0,0.0
7.0,72725.0,1.0,gpt-4o-mini,8501.41,completed,45528.593,25332.136,155116.522,13004.881,155116.522,17513.667,105082.0,583.833,3503.0,21.948,12.852,45426.667,0,4.0,0.0,0.0,0.0,0.0,0.0
8.0,83099.0,1.0,gpt-4o-mini,6135.271,completed,49994.198,30036.627,98962.428,13411.611,98962.428,17515.0,105090.0,679.333,4076.0,19.917,13.657,49743.0,0,2.0,0.0,0.0,0.0,0.0,0.0
9.0,93548.0,1.0,gpt-4o-mini,9425.951,completed,44619.454,25965.853,92866.574,12897.06,92866.574,14732.833,88397.0,622.167,3733.0,17.659,13.976,44517.833,0,4.0,0.0,0.0,0.0,0.0,0.0
10.0,104002.0,1.0,gpt-4o-mini,6005.498,completed,49372.088,47881.806,96296.137,17444.605,96296.137,17494.0,104964.0,647.0,3882.0,14.792,13.128,49284.833,0,2.0,0.0,0.0,0.0,0.0,0.0
11.0,114451.0,1.0,gpt-4o-mini,8344.724,completed,28430.085,20658.202,42517.492,18162.322,42517.492,14719.5,88317.0,576.167,3457.0,21.938,20.321,28352.833,0,3.0,0.0,0.0,0.0,0.0,0.0
12.0,124871.0,1.0,gpt-4o-mini,8168.718,completed,41825.547,31527.991,103939.721,15400.94,103939.721,14828.833,88973.0,628.0,3768.0,17.785,15.048,41732.167,0,3.0,0.0,0.0,0.0,0.0,0.0
13.0,135223.0,1.0,gpt-4o-mini,7550.698,completed,34736.411,22318.712,87404.41,7226.176,87404.41,17450.167,104701.0,603.667,3622.0,27.053,17.412,34669.667,0,1.0,0.0,0.0,0.0,0.0,0.0
14.0,145724.0,1.0,gpt-4o-mini,10797.605,completed,29449.051,18794.885,47285.79,11113.629,47285.79,17517.0,105102.0,659.167,3955.0,26.344,22.443,29371.167,0,2.0,0.0,0.0,0.0,0.0,0.0
