step,kb_size_bytes,file_count,model,preload_elapsed_ms,preload_status,ask_elapsed_ms_mean,ask_elapsed_ms_p50,ask_elapsed_ms_p95,ask_elapsed_ms_min,ask_elapsed_ms_max,ask_input_tokens_mean,ask_input_tokens_total,ask_output_tokens_mean,ask_output_tokens_total,ask_throughput_tokens_per_sec_mean,ask_aggregate_throughput_tokens_per_sec,ask_provider_server_latency_ms_mean,server_latency_missing_count,citation_miss_count,ask_elapsed_ms_std,ask_input_tokens_std,ask_output_tokens_std,ask_throughput_tokens_per_sec_std,ask_aggregate_throughput_tokens_per_sec_std
1.0,5099.0,1.0,gpt-4o-mini,8045.987,completed,17772.278,12678.499,37211.281,8006.316,37211.281,4876.25,29257.5,569.833,3419.0,35.529,32.215,17684.083,0,3.0,564.299,3.917,22.834,1.944,0.229
2.0,10205.0,1.0,gpt-4o-mini,7164.319,completed,26333.482,20093.599,51730.398,9801.292,51730.398,8943.333,53660.0,558.917,3353.5,25.863,21.994,26264.334,0,2.5,5678.945,78.0,37.916,1.286,3.303
3.0,15262.0,1.0,gpt-4o-mini,11914.892,completed,28896.419,20755.966,63611.796,10604.182,63611.796,12952.0,77712.0,551.0,3306.0,24.194,19.157,28806.5,0,1.0,1426.56,12.167,10.333,0.726,0.593
4.0,20330.0,1.0,gpt-4o-mini,7037.637,completed,37351.262,25223.1,85915.751,10406.954,85915.751,17143.917,102863.5,572.333,3434.0,20.53,15.694,37196.084,0,3.0,6168.798,74.25,26.166,0.986,1.872
5.0,25333.0,1.0,gpt-4o-mini,12697.877,completed,38209.808,19764.352,110846.997,12032.685,110846.997,17471.75,104830.5,594.667,3568.0,22.348,16.775,38128.166,0,2.5,10912.388,15.75,26.334,2.88,4.115
