step,kb_size_bytes,file_count,model,preload_elapsed_ms,preload_status,ask_elapsed_ms_mean,ask_elapsed_ms_p50,ask_elapsed_ms_p95,ask_elapsed_ms_min,ask_elapsed_ms_max,ask_input_tokens_mean,ask_input_tokens_total,ask_output_tokens_mean,ask_output_tokens_total,ask_throughput_tokens_per_sec_mean,ask_aggregate_throughput_tokens_per_sec,ask_provider_server_latency_ms_mean,server_latency_missing_count,citation_miss_count,ask_elapsed_ms_std,ask_input_tokens_std,ask_output_tokens_std,ask_throughput_tokens_per_sec_std,ask_aggregate_throughput_tokens_per_sec_std
1.0,10569.0,1.0,gpt-4o-mini,6145.427,completed,25943.502,12798.962,82407.257,8561.094,82407.257,9264.5,55587.0,535.0,3210.0,29.529,20.688,25860.667,0,2.0,0.0,0.0,0.0,0.0,0.0
2.0,21048.0,2.0,gpt-4o-mini,8561.613,completed,40559.119,22211.204,127687.691,13817.483,127687.691,17422.0,104532.0,598.0,3588.0,24.076,14.766,40497.5,0,2.0,0.0,0.0,0.0,0.0,0.0
3.0,31242.0,3.0,gpt-4o-mini,8482.99,completed,31657.097,27101.283,48748.52,19019.589,48748.52,14656.167,87937.0,523.667,3142.0,17.849,16.582,31579.5,0,5.0,0.0,0.0,0.0,0.0,0.0
4.0,41717.0,4.0,gpt-4o-mini,8265.187,completed,35834.973,25843.723,60332.759,15968.986,60332.759,17341.667,104050.0,540.167,3241.0,17.32,15.101,35770.5,0,2.0,0.0,0.0,0.0,0.0,0.0
5.0,51989.0,5.0,gpt-4o-mini,10037.443,completed,35447.135,25222.227,74511.905,16320.972,74511.905,17249.333,103496.0,524.167,3145.0,18.588,14.817,35376.0,0,0.0,0.0,0.0,0.0,0.0,0.0
6.0,62334.0,6.0,gpt-4o-mini,9561.435,completed,37002.349,27602.778,66286.897,19061.246,66286.897,17415.667,104494.0,630.167,3781.0,17.303,17.06,36939.333,0,0.0,0.0,0.0,0.0,0.0,0.0
7.0,72725.0,7.0,gpt-4o-mini,10934.892,completed,57695.382,35451.14,174925.61,19999.773,174925.61,17503.0,105018.0,655.333,3932.0,16.621,11.369,57639.667,0,3.0,0.0,0.0,0.0,0.0,0.0
8.0,83099.0,8.0,gpt-4o-mini,8693.549,completed,38773.457,30544.192,73172.238,15124.935,73172.238,17349.833,104099.0,628.0,3768.0,17.861,16.221,38714.167,0,2.0,0.0,0.0,0.0,0.0,0.0
9.0,93548.0,9.0,gpt-4o-mini,11548.52,completed,41627.558,17956.824,92532.951,17361.159,92532.951,17391.5,104349.0,662.0,3972.0,20.168,15.932,41550.5,0,0.0,0.0,0.0,0.0,0.0,0.0
10.0,104002.0,10.0,gpt-4o-mini,20619.242,completed,34469.902,14867.715,105407.133,13380.787,105407.133,17347.833,104087.0,647.333,3884.0,25.205,18.829,34379.167,0,2.0,0.0,0.0,0.0,0.0,0.0
11.0,114451.0,11.0,gpt-4o-mini,15073.131,completed,29400.271,14784.008,59016.184,10202.523,59016.184,17344.0,104064.0,624.333,3746.0,25.971,21.274,29346.833,0,2.0,0.0,0.0,0.0,0.0,0.0
