run,step,kb_size_bytes,file_count,model,vector_store_id,preload_elapsed_ms,preload_status,ask_elapsed_ms_mean,ask_elapsed_ms_p50,ask_elapsed_ms_p95,ask_elapsed_ms_min,ask_elapsed_ms_max,ask_input_tokens_mean,ask_input_tokens_total,ask_output_tokens_mean,ask_output_tokens_total,ask_throughput_tokens_per_sec_mean,ask_aggregate_throughput_tokens_per_sec,ask_provider_server_latency_ms_mean,server_latency_missing_count,citation_miss_count
1,1,10205,1,gpt-4o-mini,vs_69d4950bd0b48191b358ef1e7d3bcbd3,7734.093,completed,19150.6,11687.545,47815.48,9294.809,47815.48,8852.167,53113,543.833,3263,35.11,28.701,18948.167,0,4
1,2,20330,1,gpt-4o-mini,vs_69d49588544c8191962c48fd2c1cd881,7406.709,completed,42459.74,31769.328,89804.186,19851.355,89804.186,17102.167,102613,661.333,3968,17.085,15.606,42377.833,0,2
1,3,30194,1,gpt-4o-mini,vs_69d496902c048191a3d283682553de11,7092.768,completed,42013.331,19783.979,104933.18,11805.136,104933.18,17206.833,103241,630.167,3781,19.287,15.031,41925.333,0,1
2,1,10205,1,gpt-4o-mini,vs_69d497951f7081919ab3dabe9f3b907b,7243.545,completed,27326.708,15483.175,61671.084,9686.087,61671.084,9013.833,54083,602.833,3617,27.786,22.121,27251.333,0,3
2,2,20330,1,gpt-4o-mini,vs_69d49842183c8191b0825b4fd0dd50d0,8518.627,completed,59559.783,31454.9,197655.804,22707.416,197655.804,17101.333,102608,617.5,3705,13.97,10.388,59446.167,0,5
2,3,30194,1,gpt-4o-mini,vs_69d499b1c1988191b9eb495bcc4ee402,7360.771,completed,34743.72,32231.444,69956.962,14339.295,69956.962,17130.0,102780,555.833,3335,17.921,16.038,34657.833,0,2
