step,kb_size_bytes,file_count,model,preload_elapsed_ms,preload_status,ask_elapsed_ms_mean,ask_elapsed_ms_p50,ask_elapsed_ms_p95,ask_elapsed_ms_min,ask_elapsed_ms_max,ask_input_tokens_mean,ask_input_tokens_total,ask_output_tokens_mean,ask_output_tokens_total,ask_throughput_tokens_per_sec_mean,ask_aggregate_throughput_tokens_per_sec,ask_provider_server_latency_ms_mean,server_latency_missing_count,citation_miss_count,ask_elapsed_ms_std,ask_input_tokens_std,ask_output_tokens_std,ask_throughput_tokens_per_sec_std,ask_aggregate_throughput_tokens_per_sec_std
1.0,10205.0,1.0,gpt-4o-mini,7488.819,completed,23238.654,13585.36,54743.282,9490.448,54743.282,8933.0,53598.0,573.333,3440.0,31.448,25.411,23099.75,0,3.5,4088.054,80.833,29.5,3.662,3.29
2.0,20330.0,1.0,gpt-4o-mini,7962.668,completed,51009.762,31612.114,143729.995,21279.386,143729.995,17101.75,102610.5,639.417,3836.5,15.527,12.997,50912.0,0,3.5,8550.022,0.417,21.916,1.558,2.609
3.0,30194.0,1.0,gpt-4o-mini,7226.77,completed,38378.526,26007.711,87445.071,13072.216,87445.071,17168.416,103010.5,593.0,3558.0,18.604,15.535,38291.583,0,1.5,3634.805,38.416,37.167,0.683,0.503
