step,kb_size_bytes,file_count,model,preload_elapsed_ms,preload_status,ask_elapsed_ms_mean,ask_elapsed_ms_p50,ask_elapsed_ms_p95,ask_elapsed_ms_min,ask_elapsed_ms_max,ask_input_tokens_mean,ask_input_tokens_total,ask_output_tokens_mean,ask_output_tokens_total,ask_throughput_tokens_per_sec_mean,ask_aggregate_throughput_tokens_per_sec,ask_provider_server_latency_ms_mean,server_latency_missing_count,citation_miss_count,ask_elapsed_ms_std,ask_input_tokens_std,ask_output_tokens_std,ask_throughput_tokens_per_sec_std,ask_aggregate_throughput_tokens_per_sec_std
1.0,5099.0,1.0,gpt-4o-mini,6977.673,completed,16744.636,13430.586,26773.831,10249.128,26773.831,4861.584,29169.5,511.416,3068.5,32.907,30.795,16638.25,0,4.0,1120.84,10.584,19.916,0.126,0.867
2.0,10205.0,2.0,gpt-4o-mini,14881.632,completed,18756.104,16839.965,35044.38,9836.73,35044.38,8459.166,50755.0,496.333,2978.0,31.471,28.591,18485.75,0,1.5,5023.744,16.833,33.667,5.922,6.204
3.0,15262.0,3.0,gpt-4o-mini,7862.038,completed,31998.001,20669.713,77859.071,10939.262,77859.071,12285.0,73710.0,599.167,3595.0,23.876,18.963,31604.5,0,3.0,650.878,6.167,11.834,0.213,0.161
4.0,20330.0,4.0,gpt-4o-mini,9901.212,completed,41560.361,25074.812,112814.348,18730.294,112814.348,16028.167,96169.0,590.667,3544.0,20.485,14.517,41478.5,0,1.0,5429.023,38.5,9.334,5.591,2.12
5.0,25333.0,5.0,gpt-4o-mini,9636.537,completed,46025.141,25887.3,112999.44,13493.726,112999.44,16517.0,99102.0,536.583,3219.5,16.641,11.706,45895.5,0,3.0,2063.211,66.167,9.584,0.036,0.311
