run,step,kb_size_bytes,file_count,model,vector_store_id,preload_elapsed_ms,preload_status,ask_elapsed_ms_mean,ask_elapsed_ms_p50,ask_elapsed_ms_p95,ask_elapsed_ms_min,ask_elapsed_ms_max,ask_input_tokens_mean,ask_input_tokens_total,ask_output_tokens_mean,ask_output_tokens_total,ask_throughput_tokens_per_sec_mean,ask_aggregate_throughput_tokens_per_sec,ask_provider_server_latency_ms_mean,server_latency_missing_count,citation_miss_count
1,1,10569,1,gpt-4o-mini,vs_69d62263280081918b497c7b63042931,6053.68,completed,22772.903,16094.098,53859.05,9673.702,53859.05,9269.667,55618,564.167,3385,28.902,24.863,22690.833,0,4
1,2,21048,2,gpt-4o-mini,vs_69d622f3652c8191a4b39fbd0118a52e,7279.964,completed,55191.523,26860.981,155634.138,20762.256,155634.138,17466.0,104796,580.333,3482,15.399,10.528,55122.833,0,1
1,3,31242,3,gpt-4o-mini,vs_69d6244798308191a38f4a8b92ee5e6c,140208.731,completed,50149.166,29624.956,94708.865,11834.322,94708.865,17385.0,104310,640.5,3843,16.102,12.791,50076.0,0,1
1,4,41717,4,gpt-4o-mini,vs_69d62602455c8191a221b664167bbac4,8311.582,completed,51056.046,37700.08,130261.228,23028.801,130261.228,17447.167,104683,616.333,3698,14.09,12.097,50949.167,0,3
1,5,51989,5,gpt-4o-mini,vs_69d6273f1fb48191851252255dadf812,10720.834,completed,46212.721,22720.518,131646.965,17737.146,131646.965,17461.667,104770,637.167,3823,17.592,13.811,46136.167,0,1
1,6,62334,6,gpt-4o-mini,vs_69d628616cc8819195b5604d904de69a,19184.631,completed,46995.117,18254.653,107183.466,16012.809,107183.466,17649.167,105895,709.167,4255,17.945,15.111,46931.167,0,4
1,7,72725,7,gpt-4o-mini,vs_69d629903bac81918170ef5aa766e7e1,9643.892,completed,45168.935,22697.597,98431.423,18169.989,98431.423,17527.667,105166,672.167,4033,19.149,14.912,45077.0,0,3
1,8,83099,8,gpt-4o-mini,vs_69d62aaa93b88191a7ac86e3cc9a7ae2,10349.813,completed,42509.016,27954.733,85309.762,13010.182,85309.762,17521.667,105130,643.0,3858,18.203,15.148,42447.333,0,3
1,9,93548,9,gpt-4o-mini,vs_69d62bb58130819199f656ed6a14f04a,10953.376,completed,48979.724,33322.125,115632.995,19306.874,115632.995,14705.0,88230,608.0,3648,14.997,12.432,48907.5,0,2
1,10,104002,10,gpt-4o-mini,vs_69d62ce81e348191bff5c97b437273ec,12892.29,completed,40376.533,15290.938,138487.156,9859.778,138487.156,17246.333,103478,581.5,3489,27.076,14.428,40302.667,0,3
1,11,114451,11,gpt-4o-mini,vs_69d62de8ca5c819188246c93d3652d88,21349.522,completed,38671.839,25397.458,86589.019,10329.344,86589.019,17408.833,104453,652.0,3912,20.067,16.891,38600.5,0,0
1,12,124871,12,gpt-4o-mini,vs_69d62ee7945c8191a5ad132ea6920d08,23131.159,completed,32624.026,16416.872,77251.673,11173.799,77251.673,17271.333,103628,615.0,3690,27.481,18.885,32565.167,0,1
1,13,135223,13,gpt-4o-mini,vs_69d62fc3d88081919c637f79841cddab,54170.868,completed,52873.132,31179.172,154437.321,26557.943,154437.321,17290.5,103743,631.167,3787,14.956,11.964,52755.833,0,1
1,14,145724,14,gpt-4o-mini,vs_69d63138e41c81918aea5c0e727fc517,366661.863,completed,65071.057,26503.081,145810.333,23711.318,145810.333,17379.167,104275,770.167,4621,15.784,11.849,65000.167,0,3
1,15,155786,15,gpt-4o-mini,vs_69d6342f7d6c81919ede8d4cab3592ed,14182.8,completed,42004.839,34004.198,84364.261,19868.598,84364.261,17247.0,103482,596.667,3580,15.933,14.223,41951.833,0,2
1,16,166256,16,gpt-4o-mini,vs_69d6353b62a08191b02c163b61b8e280,13989.537,completed,62964.902,31496.84,164390.873,17753.555,164390.873,17431.0,104586,605.0,3630,16.681,9.641,62753.833,0,3
1,17,176648,17,gpt-4o-mini,vs_69d636c511088191a443d63a0af82462,133240.553,completed,53851.897,53181.264,121062.68,10677.687,121062.68,17491.5,104949,585.167,3511,15.0,10.925,53560.833,0,3
1,18,186905,18,gpt-4o-mini,vs_69d6388f28cc819182299a2d226ca3c7,32073.714,completed,46184.542,39170.117,96403.725,11143.004,96403.725,17257.667,103546,616.833,3701,17.4,13.373,46125.833,0,2
1,19,197313,19,gpt-4o-mini,vs_69d639c5b65881919af782bb5edeba6f,104713.945,completed,65456.008,26551.149,167757.073,20721.987,167757.073,17432.333,104594,644.333,3866,12.803,9.855,65381.0,0,4
1,20,207534,20,gpt-4o-mini,vs_69d63bb97a548191a0850500663d06a5,50657.859,completed,51132.031,24884.254,154989.163,22612.799,154989.163,16932.0,101592,595.167,3571,16.276,11.661,51037.667,0,2
1,21,217827,21,gpt-4o-mini,vs_69d63d20f2e481918d12d4a865840e1d,132264.88,completed,47980.662,25795.486,135233.824,11668.948,135233.824,17251.833,103511,657.333,3944,19.274,13.721,47906.833,0,1
1,22,228128,22,gpt-4o-mini,vs_69d63ec6be6c8191b5356d7cde75424a,15276.538,completed,59690.511,26795.645,161694.572,16544.302,161694.572,17528.333,105170,604.333,3626,13.474,10.136,59620.0,0,5
1,23,238377,23,gpt-4o-mini,vs_69d6403e150081919a2897494207071e,14722.975,completed,45680.8,35913.693,72547.865,13184.175,72547.865,17263.333,103580,585.0,3510,15.408,12.828,45602.833,0,1
1,24,248829,24,gpt-4o-mini,vs_69d6416062008191929d362ccbdfa063,16582.62,completed,44557.926,32042.186,120495.109,17947.118,120495.109,17337.167,104023,642.5,3855,17.442,14.441,44491.333,0,2
1,25,259166,25,gpt-4o-mini,vs_69d6427dcd288191a96b7eb9c6af0e0d,14846.303,completed,59691.224,34811.53,137806.574,22018.437,137806.574,17384.0,104304,623.333,3740,12.333,10.465,59564.167,0,4
