step,kb_size_bytes,file_count,model,preload_elapsed_ms,preload_status,ask_elapsed_ms_mean,ask_elapsed_ms_p50,ask_elapsed_ms_p95,ask_elapsed_ms_min,ask_elapsed_ms_max,ask_input_tokens_mean,ask_input_tokens_total,ask_output_tokens_mean,ask_output_tokens_total,ask_throughput_tokens_per_sec_mean,ask_aggregate_throughput_tokens_per_sec,ask_provider_server_latency_ms_mean,server_latency_missing_count,citation_miss_count,ask_elapsed_ms_std,ask_input_tokens_std,ask_output_tokens_std,ask_throughput_tokens_per_sec_std,ask_aggregate_throughput_tokens_per_sec_std
1.0,10569.0,1.0,gpt-4o-mini,7134.159,completed,40742.919,23948.054,72136.61,19273.78,72136.61,9221.833,55331.0,564.5,3387.0,15.393,13.909,40584.333,0,3.0,0.0,0.0,0.0,0.0,0.0
2.0,21048.0,1.0,gpt-4o-mini,7372.062,completed,25459.342,15635.208,63587.149,12253.339,63587.149,14683.5,88101.0,511.667,3070.0,24.216,20.354,25138.833,0,5.0,0.0,0.0,0.0,0.0,0.0
3.0,31242.0,1.0,gpt-4o-mini,9415.349,completed,39681.195,25175.516,72782.825,18717.658,72782.825,17560.167,105361.0,661.667,3970.0,17.369,16.702,39615.0,0,1.0,0.0,0.0,0.0,0.0,0.0
4.0,41717.0,1.0,gpt-4o-mini,7036.252,completed,46832.626,20284.862,164657.059,10483.296,164657.059,17502.833,105017.0,575.0,3450.0,21.05,12.293,46774.5,0,5.0,0.0,0.0,0.0,0.0,0.0
5.0,51989.0,1.0,gpt-4o-mini,7079.851,completed,41991.736,23251.974,155712.271,7601.167,155712.271,17470.333,104822.0,530.667,3184.0,23.14,12.657,41928.333,0,4.0,0.0,0.0,0.0,0.0,0.0
6.0,62334.0,1.0,gpt-4o-mini,7136.241,completed,43123.832,22614.505,101616.297,20422.992,101616.297,17441.833,104651.0,626.667,3760.0,16.908,14.556,43053.0,0,4.0,0.0,0.0,0.0,0.0,0.0
7.0,72725.0,1.0,gpt-4o-mini,17763.465,completed,39973.026,31410.088,63236.243,25626.611,63236.243,17480.5,104883.0,592.0,3552.0,15.287,14.836,39902.833,0,3.0,0.0,0.0,0.0,0.0,0.0
8.0,83099.0,1.0,gpt-4o-mini,8489.825,completed,40758.14,27996.574,91685.094,16311.859,91685.094,17412.667,104476.0,589.5,3537.0,17.564,14.516,40609.5,0,0.0,0.0,0.0,0.0,0.0,0.0
9.0,93548.0,1.0,gpt-4o-mini,6305.42,completed,46581.112,26908.144,142093.041,8601.356,142093.041,17524.833,105149.0,601.333,3608.0,22.359,12.932,46499.333,0,1.0,0.0,0.0,0.0,0.0,0.0
10.0,104002.0,1.0,gpt-4o-mini,7378.517,completed,41485.585,24633.769,94680.728,14221.006,94680.728,17506.5,105039.0,648.833,3893.0,18.802,15.664,41421.167,0,2.0,0.0,0.0,0.0,0.0,0.0
11.0,114451.0,1.0,gpt-4o-mini,8297.328,completed,31254.567,25280.744,49557.873,16086.419,49557.873,17420.5,104523.0,590.167,3541.0,20.458,18.924,31185.667,0,0.0,0.0,0.0,0.0,0.0,0.0
12.0,124871.0,1.0,gpt-4o-mini,7006.159,completed,39003.06,30064.944,77495.263,14613.501,77495.263,17493.5,104961.0,540.167,3241.0,15.374,13.87,38944.5,0,4.0,0.0,0.0,0.0,0.0,0.0
13.0,135223.0,1.0,gpt-4o-mini,7365.27,completed,54515.373,23070.325,171035.744,15165.345,171035.744,17533.167,105199.0,609.5,3657.0,17.306,11.195,54444.333,0,2.0,0.0,0.0,0.0,0.0,0.0
14.0,145724.0,1.0,gpt-4o-mini,7217.108,completed,47978.75,27057.591,145861.721,11184.193,145861.721,17583.0,105498.0,657.333,3944.0,22.718,13.721,47907.667,0,3.0,0.0,0.0,0.0,0.0,0.0
15.0,155786.0,1.0,gpt-4o-mini,9509.698,completed,46900.043,25646.854,121616.042,21526.736,121616.042,17543.667,105262.0,670.5,4023.0,17.377,14.314,46841.167,0,3.0,0.0,0.0,0.0,0.0,0.0
16.0,166256.0,1.0,gpt-4o-mini,17609.88,completed,39375.18,24152.535,97653.879,18391.876,97653.879,17513.167,105079.0,584.167,3505.0,17.5,14.862,39306.833,0,1.0,0.0,0.0,0.0,0.0,0.0
17.0,176648.0,1.0,gpt-4o-mini,8123.627,completed,37162.357,18237.069,87727.913,14438.223,87727.913,17505.833,105035.0,671.0,4026.0,22.061,18.083,37106.333,0,2.0,0.0,0.0,0.0,0.0,0.0
18.0,186905.0,1.0,gpt-4o-mini,8441.642,completed,49236.241,14776.989,168946.13,9087.449,168946.13,17553.0,105318.0,632.333,3794.0,25.351,12.858,49177.5,0,1.0,0.0,0.0,0.0,0.0,0.0
19.0,197313.0,1.0,gpt-4o-mini,73750.239,completed,39331.59,31465.305,89237.653,23256.097,89237.653,17494.0,104964.0,581.0,3486.0,16.289,14.794,39272.333,0,3.0,0.0,0.0,0.0,0.0,0.0
