run,step,kb_size_bytes,file_count,model,vector_store_id,preload_elapsed_ms,preload_status,ask_elapsed_ms_mean,ask_elapsed_ms_p50,ask_elapsed_ms_p95,ask_elapsed_ms_min,ask_elapsed_ms_max,ask_input_tokens_mean,ask_input_tokens_total,ask_output_tokens_mean,ask_output_tokens_total,ask_throughput_tokens_per_sec_mean,ask_aggregate_throughput_tokens_per_sec,ask_provider_server_latency_ms_mean,server_latency_missing_count,citation_miss_count
1,1,10569,1,gpt-4o-mini,vs_69d63541ea208191b3bd206bd1077338,7228.915,completed,35911.942,32621.108,68102.96,14532.43,68102.96,9191.167,55147,572.667,3436,17.933,15.98,35836.5,0,0
1,2,21048,1,gpt-4o-mini,vs_69d636220dec819196dda881c413d9a3,7246.737,completed,53561.921,30794.603,126237.126,21279.909,126237.126,17628.0,105768,586.167,3517,13.284,10.957,53497.0,0,3
1,3,31242,1,gpt-4o-mini,vs_69d6376c4cf081919036b9771a3d92ec,9263.147,completed,31641.355,20511.068,59591.615,19209.947,59591.615,17498.0,104988,598.0,3588,21.726,18.939,31575.0,0,3
1,4,41717,1,gpt-4o-mini,vs_69d63834cd1c81919789f36d637ea505,8202.901,completed,41337.385,19324.014,153441.173,12002.308,153441.173,17500.667,105004,527.5,3165,23.169,12.78,41274.667,0,4
