step,kb_size_bytes,file_count,model,preload_elapsed_ms,preload_status,ask_elapsed_ms_mean,ask_elapsed_ms_p50,ask_elapsed_ms_p95,ask_elapsed_ms_min,ask_elapsed_ms_max,ask_input_tokens_mean,ask_input_tokens_total,ask_output_tokens_mean,ask_output_tokens_total,ask_throughput_tokens_per_sec_mean,ask_aggregate_throughput_tokens_per_sec,ask_provider_server_latency_ms_mean,server_latency_missing_count,citation_miss_count,ask_elapsed_ms_std,ask_input_tokens_std,ask_output_tokens_std,ask_throughput_tokens_per_sec_std,ask_aggregate_throughput_tokens_per_sec_std
1.0,10205.0,1.0,gpt-4o-mini,7827.415,completed,20647.546,18662.997,34731.603,8799.766,34731.603,8905.75,53434.5,521.0,3126.0,27.634,25.514,20568.75,0,3.5,2337.682,14.583,26.833,0.98,1.61
2.0,20330.0,2.0,gpt-4o-mini,18692.352,completed,38453.422,34733.009,65669.174,12025.261,65669.174,16760.084,100560.5,572.833,3437.0,18.215,15.562,38349.916,0,2.5,7778.752,6.916,3.334,3.01,3.076
3.0,30194.0,3.0,gpt-4o-mini,8085.702,completed,37182.579,27935.287,82532.935,18435.334,82532.935,17007.25,102043.5,590.917,3545.5,18.177,15.942,37063.666,0,4.0,352.243,36.917,10.916,1.21,0.13
