run,step,kb_size_bytes,file_count,model,vector_store_id,preload_elapsed_ms,preload_status,ask_elapsed_ms_mean,ask_elapsed_ms_p50,ask_elapsed_ms_p95,ask_elapsed_ms_min,ask_elapsed_ms_max,ask_input_tokens_mean,ask_input_tokens_total,ask_output_tokens_mean,ask_output_tokens_total,ask_throughput_tokens_per_sec_mean,ask_aggregate_throughput_tokens_per_sec,ask_provider_server_latency_ms_mean,server_latency_missing_count,citation_miss_count
1,1,10205,1,gpt-4o-mini,vs_69d49f13be5c8191bb3b76ef85c16ca1,7749.726,completed,22985.228,20841.718,36853.794,9358.307,36853.794,8920.333,53522,547.833,3287,26.654,23.904,22918.167,0,3
1,2,20330,2,gpt-4o-mini,vs_69d49fa743748191b38a23742a9239b5,6255.721,completed,46232.174,44203.21,82250.486,12050.847,82250.486,16753.167,100519,576.167,3457,15.205,12.486,46144.833,0,4
1,3,30194,3,gpt-4o-mini,vs_69d4a0c48c348191ad2a82999747ba27,8832.732,completed,36830.336,28774.2,73875.588,23884.618,73875.588,17044.167,102265,580.0,3480,16.967,15.812,36681.0,0,4
2,1,10205,1,gpt-4o-mini,vs_69d4a1ac26608191865af18ae3a541d0,7905.104,completed,18309.864,16484.277,32609.411,8241.225,32609.411,8891.167,53347,494.167,2965,28.614,27.123,18219.333,0,4
2,2,20330,2,gpt-4o-mini,vs_69d4a223a85c8191998d39a756374fbf,31128.983,completed,30674.67,25262.808,49087.862,11999.674,49087.862,16767.0,100602,569.5,3417,21.224,18.639,30555.0,0,1
2,3,30194,3,gpt-4o-mini,vs_69d4a2fcb4d48191801f03d936860ce4,7338.672,completed,37534.823,27096.374,91190.282,12986.05,91190.282,16970.333,101822,601.833,3611,19.387,16.072,37446.333,0,4
