run,step,kb_size_bytes,file_count,model,vector_store_id,preload_elapsed_ms,preload_status,ask_elapsed_ms_mean,ask_elapsed_ms_p50,ask_elapsed_ms_p95,ask_elapsed_ms_min,ask_elapsed_ms_max,ask_input_tokens_mean,ask_input_tokens_total,ask_output_tokens_mean,ask_output_tokens_total,ask_throughput_tokens_per_sec_mean,ask_aggregate_throughput_tokens_per_sec,ask_provider_server_latency_ms_mean,server_latency_missing_count,citation_miss_count
1,1,10569,1,gpt-4o-mini,vs_69d5fffa955c8191ab0a819a5322fff8,7134.159,completed,40742.919,23948.054,72136.61,19273.78,72136.61,9221.833,55331,564.5,3387,15.393,13.909,40584.333,0,3
1,2,21048,1,gpt-4o-mini,vs_69d600f7a6308191b4caf27de276f8c9,7372.062,completed,25459.342,15635.208,63587.149,12253.339,63587.149,14683.5,88101,511.667,3070,24.216,20.354,25138.833,0,5
1,3,31242,1,gpt-4o-mini,vs_69d601992c0c8191b091b8aa00e96dea,9415.349,completed,39681.195,25175.516,72782.825,18717.658,72782.825,17560.167,105361,661.667,3970,17.369,16.702,39615.0,0,1
1,4,41717,1,gpt-4o-mini,vs_69d6029277b0819184e363c80007d22b,7036.252,completed,46832.626,20284.862,164657.059,10483.296,164657.059,17502.833,105017,575.0,3450,21.05,12.293,46774.5,0,5
1,5,51989,1,gpt-4o-mini,vs_69d603b3e00481919d21abfd31a94b84,7079.851,completed,41991.736,23251.974,155712.271,7601.167,155712.271,17470.333,104822,530.667,3184,23.14,12.657,41928.333,0,4
1,6,62334,1,gpt-4o-mini,vs_69d604b870a08191ab495df31258a5c4,7136.241,completed,43123.832,22614.505,101616.297,20422.992,101616.297,17441.833,104651,626.667,3760,16.908,14.556,43053.0,0,4
1,7,72725,1,gpt-4o-mini,vs_69d605c3bea4819196d1a407ed164d4f,17763.465,completed,39973.026,31410.088,63236.243,25626.611,63236.243,17480.5,104883,592.0,3552,15.287,14.836,39902.833,0,3
1,8,83099,1,gpt-4o-mini,vs_69d606c6f5e48191af83bc04d6b98bb9,8489.825,completed,40758.14,27996.574,91685.094,16311.859,91685.094,17412.667,104476,589.5,3537,17.564,14.516,40609.5,0,0
1,9,93548,1,gpt-4o-mini,vs_69d607c5b3388191a6b2bdd8edac44f5,6305.42,completed,46581.112,26908.144,142093.041,8601.356,142093.041,17524.833,105149,601.333,3608,22.359,12.932,46499.333,0,1
1,10,104002,1,gpt-4o-mini,vs_69d608e4fe0081918e4c16fab2c738e2,7378.517,completed,41485.585,24633.769,94680.728,14221.006,94680.728,17506.5,105039,648.833,3893,18.802,15.664,41421.167,0,2
