step,kb_size_bytes,file_count,model,preload_elapsed_ms,preload_status,ask_elapsed_ms_mean,ask_elapsed_ms_p50,ask_elapsed_ms_p95,ask_elapsed_ms_min,ask_elapsed_ms_max,ask_input_tokens_mean,ask_input_tokens_total,ask_output_tokens_mean,ask_output_tokens_total,ask_throughput_tokens_per_sec_mean,ask_aggregate_throughput_tokens_per_sec,ask_provider_server_latency_ms_mean,server_latency_missing_count,citation_miss_count,ask_elapsed_ms_std,ask_input_tokens_std,ask_output_tokens_std,ask_throughput_tokens_per_sec_std,ask_aggregate_throughput_tokens_per_sec_std
1.0,10569.0,1.0,gpt-4o-mini,7310.551,completed,25253.087,13657.693,61070.092,9064.761,61070.092,7892.5,47355.0,564.0,3384.0,28.671,22.401,25177.167,0,5.0,0.0,0.0,0.0,0.0,0.0
2.0,21048.0,2.0,gpt-4o-mini,5990.185,completed,33396.638,24962.791,60084.276,18221.795,60084.276,17321.833,103931.0,598.0,3588.0,19.051,17.943,33328.0,0,0.0,0.0,0.0,0.0,0.0,0.0
3.0,31242.0,3.0,gpt-4o-mini,10499.036,completed,51358.175,28748.292,162380.852,15164.25,162380.852,17479.667,104878.0,621.667,3730.0,17.543,12.124,51277.333,0,2.0,0.0,0.0,0.0,0.0,0.0
4.0,41717.0,4.0,gpt-4o-mini,8463.776,completed,37391.2,26340.091,92184.301,14153.453,92184.301,17283.5,103701.0,578.833,3473.0,20.865,15.511,37317.333,0,3.0,0.0,0.0,0.0,0.0,0.0
5.0,51989.0,5.0,gpt-4o-mini,9727.548,completed,32933.598,25229.841,59809.618,24517.533,59809.618,14643.167,87859.0,632.5,3795.0,19.971,19.241,32873.333,0,2.0,0.0,0.0,0.0,0.0,0.0
6.0,62334.0,6.0,gpt-4o-mini,10309.915,completed,56446.659,27040.172,170125.418,19978.325,170125.418,17460.0,104760.0,606.0,3636.0,15.234,10.75,56374.167,0,3.0,0.0,0.0,0.0,0.0,0.0
7.0,72725.0,7.0,gpt-4o-mini,59249.567,completed,46335.855,24432.258,158521.509,7642.443,158521.509,14777.833,88667.0,663.833,3983.0,24.129,14.346,46271.5,0,3.0,0.0,0.0,0.0,0.0,0.0
8.0,83099.0,8.0,gpt-4o-mini,14552.324,completed,50193.401,35506.339,121183.653,25526.985,121183.653,17408.167,104449.0,584.333,3506.0,13.399,11.666,50087.0,0,2.0,0.0,0.0,0.0,0.0,0.0
9.0,93548.0,9.0,gpt-4o-mini,9556.971,completed,50779.925,38825.984,87558.381,22428.197,87558.381,17427.0,104562.0,586.667,3520.0,12.906,11.567,50720.0,0,3.0,0.0,0.0,0.0,0.0,0.0
10.0,104002.0,10.0,gpt-4o-mini,12034.931,completed,33471.679,24560.043,58522.371,10635.511,58522.371,14440.333,86642.0,567.0,3402.0,19.522,16.976,33399.833,0,4.0,0.0,0.0,0.0,0.0,0.0
